"389293757";"private corporation";"Rivera-Hernandez"";"Grade AA";"101.00"
"404842685";"private corporation";"Vasquez Group"";"Grade A";"90.00"
"449490753";"airport company";"Rogers-Brown"";"Grade AA";"447.00"
"484969457";"public airline";"Kelly-Gonzales"";"Grade AAA";"110.00"
"485069682";"public airline";"Pace Ltd"";"Grade AAA";"100.00"
"492674300";"public airline";"Shepherd Anderson and Davis"";"Grade AAA";"383.00"
"508251354";"private corporation";"Ortiz Rodgers and Lee"";"Grade AAA";"68.00"
"517389156";"public airline";"Jackson-Robbins"";"Grade A";"300.00"
"519328947";"airport company";"Chavez Villa and Meadows"";"Grade AA";"468.00"
"537095884";"government entity";"Roberson-Larson"";"Grade AAA";"156.00"
"549898252";"airport company";"Perry-Morris"";"Grade AAA";"129.00"
"550866980";"airport company";"George and Sons"";"Grade A";"431.00"
"561028112";"private corporation";"Turner Ltd"";"Grade AA";"142.00"
"566254026";"private corporation";"Rose White and Mcguire"";"Grade AA";"149.00"
"589341148";"private corporation";"Johnson PLC"";"Grade AAA";"69.00"
"596676255";"airport company";"Martinez Stewart and Young"";"Grade AA";"185.00"
"597423068";"public airline";"Wyatt Zimmerman and Lynch"";"Grade AAA";"156.00"
"601340797";"private corporation";"Bennett Oneill and Bowen"";"Grade A";"106.00"
"624723422";"public airline";"Sanchez-Goodwin"";"Grade A";"99.00"
"649418543";"airport company";"White Ltd"";"Grade A";"440.00"
"651758932";"airport company";"Mitchell Davis and Bell"";"Grade A";"209.00"
"654781034";"government entity";"Lopez-Armstrong"";"Grade AA";"436.00"
"658228652";"public airline";"Johnson PLC"";"Grade AAA";"209.00"
"661582726";"public airline";"Travis Group"";"Grade AAA";"202.00"
"665576433";"public airline";"Peterson PLC"";"Grade A";"86.00"
"690071070";"airport company";"Moore-Huynh"";"Grade AA";"394.00"
"696993963";"public airline";"Patterson Inc"";"Grade AA";"116.00"
"698313096";"airport company";"Garcia Martinez and Gilmore"";"Grade AA";"83.00"
"708252355";"private corporation";"Myers-Ward"";"Grade AAA";"53.00"
"708285865";"airport company";"Robinson Ltd"";"Grade AA";"468.00"
"709710026";"airport company";"Henry and Sons"";"Grade A";"393.00"
"722914856";"public airline";"Lamb Mcintosh and Mathews"";"Grade AA";"483.00"
"743439998";"airport company";"Baird Group"";"Grade AA";"448.00"
"746167148";"private corporation";"Dunn-Thomas"";"Grade AAA";"84.00"
"748154505";"airport company";"Jensen-Blackwell"";"Grade A";"158.00"
"750252360";"private airline";"Davis Ltd"";"Grade AAA";"61.00"
"750499001";"private corporation";"Robinson-Lewis"";"Grade AA";"147.00"
"760662584";"public airline";"Myers Ltd"";"Grade AA";"178.00"
"761687261";"airport company";"Johnson-Hall"";"Grade AA";"372.00"
"762892250";"public airline";"Ruiz Ltd"";"Grade A";"253.00"
"765440337";"public airline";"Garcia and Sons"";"Grade AA";"399.00"
"775512262";"airport company";"Sweeney-White"";"Grade AA";"110.00"
"786718876";"private airline";"Oneill Ltd"";"Grade AAA";"141.00"
"792568945";"private corporation";"Rosario-Cook"";"Grade AAA";"83.00"
"793811839";"airport company";"Ward-Mitchell"";"Grade A";"376.00"
"799817353";"public airline";"Crosby-Villanueva"";"Grade AA";"498.00"
"810062746";"airport company";"Smith-Hubbard"";"Grade AAA";"94.00"
"819089618";"private corporation";"Alexander-Fisher"";"Grade AAA";"124.00"
"829993192";"airport company";"Ingram Fry and Wood"";"Grade AA";"94.00"
"839871671";"airport company";"Colon-Casey"";"Grade A";"371.00"
"850063334";"public airline";"Harris-Smith"";"Grade A";"478.00"
"887663042";"public airline";"Pratt-Sanchez"";"Grade AA";"314.00"
"887691199";"airport company";"Young Ltd"";"Grade AA";"148.00"
